CompanyLocationID,CompanyID,CompanyName,CompanyDescription,CompanyLocationDescription,secuirtycheckpoint,Hours,CompanyURL,AirlineCode,Terminal,Location,Categories,urlLogoImage,urlFrontImage,urlMenuDoc,AirportName,LocationPhone,CompanyLocationLastUpdated,CompanyLastUpdated,AddressLastUpdated,Lat,Long,Address,City,Zip,ProcessDate
1852,1288,XpresSpa,,"XpresSpa offers the ultimate relaxation experience such as a facial, massage, manicure, pedicure, waxing and much more.",1,,,,Terminal 5,Departure Level,"BUSINESS SERVICES, SPAS",,,,LAX,310-846-0098,2018-02-02 10:46:44.317000000,,,33.941728024712546,-118.40436608602692,500 World Way,Los Angeles,90045,04/22/2018 12:00:01 AM
1902,1338,Treat Me Sweet,,Shop for a variety of candy at Treat Me Sweet.,1,,,,TBIT,Departure Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,424-800-2037,2018-02-02 10:46:06.213000000,2016-09-26 14:20:53.820000000,,,,380 World Way,Los Angeles,90045,04/22/2018 12:00:01 AM
1850,1286,Treat Me Sweet,,Shop for a variety of candy at Treat Me Sweet.,1,,,,Terminal 1,Departure Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,310-641-1546,2018-02-02 10:45:52.790000000,,,33.94670050288552,-118.401312364418,100 World Way,Los Angeles,90045,04/22/2018 12:00:01 AM
1686,1122,Starbucks Evenings,,"Starbucks Evenings has all of the wonderful coffee drinks they're known for plus appetizers, beer and wine.",1,,,,TBIT,South Concourse,FOOD AND BEVERAGE FACILITIES,,,,LAX,(310) 258-9627,2018-02-02 10:43:46.933000000,,,33.940304,-118.409946,380 World Way,Los Angeles,90045,04/22/2018 12:00:01 AM
1619,1056,Lemonade,,"Lemonade offers seasonal Southern California comfort food in a fast-casual modern cafeteria setting. Lemonade provides passengers with an “on the go” dining experience featuring marketplace salads, unique sandwiches, and slow simmered braises. It is reall",1,,,,Terminal 5,Departure Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,424-744-5978,2018-02-02 10:32:21.703000000,,,33.941117,-118.404285,500 World Way,Los Angeles,90045,04/22/2018 12:00:01 AM
1732,1168,Hudson,,"The next generation travel essentials store. We are The Traveler’s Best Friend. Hudson’s brightly lit sections – Media, Marketplace, Essentials and Destination – meet customer demand for all the traveler’s essentials: reading materials, snacks, beverages,",1,,,,TBIT,Great Hall,GIFT SHOPS AND NEWS STANDS,,,,LAX,310-646-1770,2018-02-02 08:06:49.307000000,,,33.942626,-118.410609,380 World Way,Los Angeles,90045,04/22/2018 12:00:01 AM
1819,1255,Hudson,,"The next generation travel essentials store. We are The Traveler’s Best Friend. Hudson’s brightly lit sections – Media, Marketplace, Essentials and Destination – meet customer demand for all the traveler’s essentials: reading materials, snacks, beverages,",0,,,,TBIT,Ticketing Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,310-646-1770,2018-02-02 08:06:18.337000000,,,33.94296945,-118.40928878,380 World Way,Los Angeles,90045,04/22/2018 12:00:01 AM
1706,1142,CNN Los Angeles Newsstand,,"Since its inception in 1980, Cable News Network (CNN) has built a solid reputation for breaking and interpreting the news, with over 900 affiliated local stations and media stars like Anderson Cooper, Wolf Blitzer, Soledad O’Brien and Dr. Sanjay Gupta. In",1,,,,TBIT,South Concourse,GIFT SHOPS AND NEWS STANDS,,,,LAX,(424) 750-9102,2018-02-02 07:30:11.260000000,,,33.940985,-118.410322,380 World Way,Los Angeles,90045,04/22/2018 12:00:01 AM
1832,1268,Hollywood Reporter,,"The Hollywood Reporter is a widely trusted resource for breaking entertainment news, movie and TV reviews, movie trailers, TV clips and analysis.  As the entertainment industry's flagship media brand, the Hollywood Reporter brings in-depth reporting, anal",0,,,,Terminal 5,Arrival Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,(310) 417-2844,2018-02-02 07:28:44.400000000,,,33.94257358751758,-118.40474159528901,500 World Way,Los Angeles,90045,04/22/2018 12:00:01 AM
1707,1143,Hollywood Reporter,,"The Hollywood Reporter is a widely trusted resource for breaking entertainment news, movie and TV reviews, movie trailers, TV clips and analysis.  As the entertainment industry's flagship media brand, the Hollywood Reporter brings in-depth reporting, anal",1,,,,TBIT,South Concourse,GIFT SHOPS AND NEWS STANDS,,,,LAX,424-227-9910,2018-02-02 07:28:32.723000000,,,33.940265,-118.410217,,,,04/22/2018 12:00:01 AM
1792,1228,Travel + Leisure,,"Travel + Leisure is the world’s leading travel magazine, a celebration of travel. The T+L store focuses on all aspects of travel, particularly on the fine luggage and accessory products that make the travel experience easier and more fashionable.  T-Tech,",0,,,,TBIT,Ticketing Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,(310) 642-0512,2018-02-02 07:27:35.950000000,,,33.94372525,-118.40864797,380 World Way,Los Angeles,90045,04/22/2018 12:00:01 AM
1794,1230,Virgin Mobile/Boost Mobile,,"Brand-name electronics, accessories, chargers, cameras, computer bags and accessories. Tech on the Go focuses on what the wired traveler needs, especially power and sound. Here can be found portable electronic devices, headphones, cases, chargers, accesso",0,,,,TBIT,Arrival Level,GIFT SHOPS AND NEWS STANDS,,,,LAX,310-646-1770,2018-02-02 07:26:41.040000000,,,,,380 World Way,Los Angeles,90045,04/22/2018 12:00:01 AM
